                      List of tables
 Schema |             Name              | Type  |  Owner   
--------+-------------------------------+-------+----------
 public | app_modules                   | table | postgres
 public | audit_logs                    | table | postgres
 public | bom_lines                     | table | postgres
 public | boms                          | table | postgres
 public | branches                      | table | postgres
 public | categories                    | table | postgres
 public | companies                     | table | postgres
 public | company_settings              | table | postgres
 public | company_subscriptions         | table | postgres
 public | construction_members          | table | postgres
 public | construction_phases           | table | postgres
 public | construction_projects         | table | postgres
 public | construction_tasks            | table | postgres
 public | construction_teams            | table | postgres
 public | customers                     | table | postgres
 public | export_task_items             | table | postgres
 public | export_tasks                  | table | postgres
 public | inbound_order_items           | table | postgres
 public | inbound_orders                | table | postgres
 public | internal_inventory_items      | table | postgres
 public | internal_inventory_sessions   | table | postgres
 public | internal_product_code_rules   | table | postgres
 public | inventory_check_item_logs     | table | postgres
 public | inventory_check_items         | table | postgres
 public | inventory_checks              | table | postgres
 public | locations                     | table | postgres
 public | lot_items                     | table | postgres
 public | lot_tags                      | table | postgres
 public | lots                          | table | postgres
 public | manufacturing_orders          | table | postgres
 public | master_tags                   | table | postgres
 public | material_requisition_lines    | table | postgres
 public | material_requisitions         | table | postgres
 public | operational_notes             | table | postgres
 public | order_types                   | table | postgres
 public | origins                       | table | postgres
 public | outbound_order_items          | table | postgres
 public | outbound_orders               | table | postgres
 public | permissions                   | table | postgres
 public | platform_modules              | table | postgres
 public | positions                     | table | postgres
 public | print_queue                   | table | postgres
 public | product_category_rel          | table | postgres
 public | product_media                 | table | postgres
 public | product_units                 | table | postgres
 public | product_vehicle_compatibility | table | postgres
 public | production_code_levels        | table | postgres
 public | production_records            | table | postgres
 public | products                      | table | postgres
 public | profiles                      | table | postgres
 public | qc_info                       | table | postgres
 public | roles                         | table | postgres
 public | site_loans                    | table | postgres
 public | suppliers                     | table | postgres
 public | systems                       | table | postgres
 public | units                         | table | postgres
 public | user_profiles                 | table | postgres
 public | vehicles                      | table | postgres
 public | warehouses                    | table | postgres
 public | work_areas                    | table | postgres
 public | zone_layouts                  | table | postgres
 public | zone_positions                | table | postgres
 public | zone_status_layouts           | table | postgres
 public | zone_templates                | table | postgres
 public | zones                         | table | postgres
(65 rows)

